year,scenario,applied_growth,sales,ebitda,depreciation,ebit,tax,nopat,capex,nwc,d_nwc,fcff,discount_factor,pv_fcff
2027,bear,22.13,106966.3392,10172.49885792,1155.23646336,9017.262394559999,2414.822869263168,6602.439525296832,3005.75413152,42760.155600000006,7748.1556000000055,-2996.2337428631745,0.9562057754828839,-2865.0160096224654
2028,bear,17.2425,125410.01023656,11926.491973496857,1354.4281105548482,10572.063862942008,2831.1987024958703,7740.865160446137,3524.021287647336,50133.075429330005,7372.91982933,-1801.6478459763493,0.9143294850668234,-1647.2997472833072
2029,bear,12.354999999999999,140904.417001287,13400.010056822393,1521.7677036138996,11878.242353208494,3180.9933021892352,8697.249051019258,3959.4141177361644,56327.016898623726,6193.941469293721,65.66116760327259,0.8742871343151877,57.40671405965443
2030,bear,7.467499999999999,151426.4543408581,14400.655807815605,1635.4057068812674,12765.250100934338,3418.533977030216,9346.716123904122,4255.083366978112,60533.23688552845,4206.219986904725,2520.818476902551,0.8359984072625622,2107.400231688571
2031,bear,2.579999999999999,155333.25686285223,14772.192727657248,1677.599174118804,13094.593553538443,3506.7321536375957,9587.861399900848,4364.8645178461475,62094.99439717508,1561.7575116466323,5338.838544526873,0.799386505318954,4267.795486571468
