year,scenario,applied_growth,sales,ebitda,depreciation,ebit,tax,nopat,capex,nwc,d_nwc,fcff,discount_factor,pv_fcff
2027,bull,36.97,119963.8048,12800.13797216,1295.60909184,11504.52888032,3080.9128341496967,8423.616046170304,3370.98291488,47955.9364,12943.936399999999,-6595.694176869694,0.9562057754828839,-6306.840865241627
2028,bull,28.372500000000002,154000.53531688,16431.857118311098,1663.2057814223042,14768.651336888794,3955.0448280188193,10813.606508869974,4327.415042404328,61562.23445509001,13606.29805509001,-5456.90080720206,0.9143294850668234,-4989.405305109793
2029,bull,19.775,184454.14117579305,19681.256863457118,1992.104724698565,17689.152138758553,4737.154942759541,12951.99719599901,5183.161367039785,73736.16631858406,12173.93186349405,-2412.9913098362595,0.8742871343151877,-2109.6472574041945
2030,bull,11.177500000000002,205071.50280571732,21881.12934937004,2214.772230301747,19666.357119068292,5266.6504364864895,14399.706682581804,5762.509228840657,81978.0263088438,8241.859990259734,2610.1096937831608,0.8359984072625622,2182.0475467832966
2031,bull,2.579999999999999,210362.34757810485,22445.662486583788,2271.9133538435326,20173.749132740253,5402.53001774784,14771.219114992413,5911.181966944746,84093.05938761198,2115.0330787681887,9016.91742312301,0.799386505318954,7208.002107619892
