year,scenario,applied_growth,sales,ebitda,depreciation,ebit,tax,nopat,capex,nwc,d_nwc,fcff,discount_factor,pv_fcff
2027,base,25.900000000000002,110268.256,11181.2011584,1190.8971648,9990.303993599999,2675.40340948608,7314.900584113919,3098.5379936,44080.108,9068.108,-3660.8482446860808,0.9562057754828839,-3500.524234735208
2028,base,20.07,132399.0949792,13425.268230890879,1429.91022577536,11995.358005115519,3212.3568737699366,8783.001131345582,3720.41456891552,52926.9856756,8846.8776756,-2354.380887394578,0.9143294850668234,-2152.6798644226556
2029,base,14.24,151252.72610423807,15337.026426969742,1633.5294419257712,13703.49698504397,3669.796492594776,10033.700492449194,4250.20160352909,60463.78843580544,7536.802760205443,-119.77442935956697,0.8742871343151877,-104.71724260901269
2030,base,8.41,163973.0803696045,16626.870349477897,1770.9092679917285,14855.961081486168,3978.4263776219964,10877.534703864172,4607.6435583858865,65548.79304325668,5085.004607451236,2955.7958060187784,0.8359984072625622,2471.0405860250603
2031,base,2.579999999999999,168203.5858431403,17055.843604494425,1816.5987271059153,15239.24487738851,4081.0697781646436,11158.175099223867,4726.520762192242,67239.9519037727,1691.1588605160214,6557.094203621518,0.799386505318954,5241.652620480176
