scenario,enterprise_value_cr,terminal_value_cr,pv_terminal_value_cr,net_debt_cr,equity_value_cr,shares_outstanding,value_per_share
bear,220815.51718166456,273829.02894878335,218895.23050625063,25031.0,195784.51718166456,890000000.0,2199.82603574904
base,270799.1347691666,336313.3617037477,268844.3629044282,25031.0,245768.1347691666,890000000.0,2761.4397165074897
bull,365682.5843264718,462477.69463197916,369698.42809982423,25031.0,340651.5843264718,890000000.0,3827.545891308672
